rva	symbol	category	disposition	public_header	probe	address_id
0001C690	?del_fr_dist_obj_pairs@IVP_Friction_Core_Pair@@QAEXPAVIVP_Contact_Point@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionCorePairRemoveDistance	FrictionCorePairRemoveDistance
0001C6F0	?add_fr_pair@IVP_Friction_System@@QAEXPAVIVP_Friction_Core_Pair@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemAddPair	FrictionSystemAddPair
0001C720	?del_fr_pair@IVP_Friction_System@@QAEXPAVIVP_Friction_Core_Pair@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemRemovePair	FrictionSystemRemovePair
0001C780	?get_pair_info_for_objs@IVP_Friction_System@@QAEPAVIVP_Friction_Core_Pair@@PAVIVP_Core@@0@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemGetPairInfo	FrictionSystemGetPairInfo
0001C7F0	?union_find_fr_sys@IVP_Friction_System@@QAEPAVIVP_Core@@XZ	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemUnionFind	FrictionSystemUnionFind
0001C8A0	?split_friction_system@IVP_Friction_System@@QAEXPAVIVP_Core@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemSplit	FrictionSystemSplit
0001CBC0	?reset_time@IVP_Friction_System@@UAEXVIVP_Time@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemResetTime	FrictionSystemResetTime
0001CC20	?check_all_fr_mindists_to_be_valid@IVP_Friction_Core_Pair@@QAEHPAVIVP_Friction_System@@@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionCorePairCheckMindists	FrictionCorePairCheckMindists
0001CC90	?remove_energy_gained_by_real_friction@IVP_Friction_System@@QAEXXZ	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemRemoveGainedEnergy	FrictionSystemRemoveGainedEnergy
0001CCB0	?clear_integrated_anti_energy@IVP_Friction_System@@QAEXXZ	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionSystemClearIntegratedEnergy	FrictionSystemClearIntegratedEnergy
0001CCD0	?remove_energy_gained_by_real_friction@IVP_Friction_Core_Pair@@QAEXXZ	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionCorePairRemoveGainedEnergy	FrictionCorePairRemoveGainedEnergy
0001CD60	?calc_energy_potential@IVP_Mutual_Energizer@@SANNNNNN@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::MutualEnergizerCalculatePotential	MutualEnergizerCalculatePotential
0001CDB0	?init_mutual_energizer@IVP_Mutual_Energizer@@QAEXPAVIVP_Core@@0@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::MutualEnergizerInitialize	MutualEnergizerInitialize
0001D060	?calc_energy_potential@IVP_Mutual_Energizer@@QAEXXZ	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::MutualEnergizerCalculate	MutualEnergizerCalculate
0001D0E0	?destroy_percent_energy@IVP_Mutual_Energizer@@QAEXN@Z	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::MutualEnergizerDestroyPercent	MutualEnergizerDestroyPercent
0001D340	??0IVP_Friction_Core_Pair@@QAE@XZ	public-friction	typed-wrapper	include/BML/IVP/Friction.h	Address::FrictionCorePairConstruct	FrictionCorePairConstruct
